Parameter,Min,Max
PFAC,0.72,0.78
ANETD,15,20
uslek,0.1,0.49
uslels,0.01,5
uslep,0.1,1
slp,0.001,50
hl,2000,5000
CN_c,51,98
uslec_c,0.001,1
MNGN,0.006,0.47
bd1,1.3,1.65
fc,0.001,0.16
WP,0.05,0.24
OC,0.01,2
dep,0.1,6
app_rate,0.0001,0.254
app_eff,0.1,0.99
DWRATE,0.01,0.1
DSRATE,0.01,0.1
kd,8600,24000
aer_aq,5,35
temp_ref_aer,20,25
anae_aq,5,150
temp_ref_anae,20,25
photo,276,416
RFLAT,40,40
hydro,0.1,50
SOL,0.00024063,0.744304
benthic_depth,0.01,1
porosity,0.1,0.8
bulk_density,0.86,1.76
FROC2,0.01,0.99
DOC2,0.01,60
BNMAS,0.001,5
SUSED,0.005,80
CHL,0.001,1.5
FROC1,0.01,1
DOC1,0.1,15
PLMAS,0.001,10
bf,0,0.001
